"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"100";1996-01-01;9,2;"001688528";"25-49 ans"
"101";1995-10-01;8,8;"001688528";"25-49 ans"
"102";1995-07-01;8,8;"001688528";"25-49 ans"
"103";1995-04-01;8,9;"001688528";"25-49 ans"
"104";1995-01-01;9;"001688528";"25-49 ans"
"105";1994-10-01;9,1;"001688528";"25-49 ans"
"106";1994-07-01;9,4;"001688528";"25-49 ans"
"107";1994-04-01;9,5;"001688528";"25-49 ans"
"108";1994-01-01;9,4;"001688528";"25-49 ans"
"109";1993-10-01;9,1;"001688528";"25-49 ans"
"110";1993-07-01;8,8;"001688528";"25-49 ans"
"111";1993-04-01;8,5;"001688528";"25-49 ans"
"112";1993-01-01;8,2;"001688528";"25-49 ans"
"113";1992-10-01;7,9;"001688528";"25-49 ans"
"114";1992-07-01;7,8;"001688528";"25-49 ans"
"115";1992-04-01;7,6;"001688528";"25-49 ans"
"116";1992-01-01;7,4;"001688528";"25-49 ans"
"117";1991-10-01;7,1;"001688528";"25-49 ans"
"118";1991-07-01;6,9;"001688528";"25-49 ans"
"119";1991-04-01;6,7;"001688528";"25-49 ans"
"120";1991-01-01;6,6;"001688528";"25-49 ans"
"121";1990-10-01;6,6;"001688528";"25-49 ans"
"122";1990-07-01;6,6;"001688528";"25-49 ans"
"123";1990-04-01;6,7;"001688528";"25-49 ans"
"124";1990-01-01;6,7;"001688528";"25-49 ans"
"125";1989-10-01;6,7;"001688528";"25-49 ans"
"126";1989-07-01;6,8;"001688528";"25-49 ans"
"127";1989-04-01;6,9;"001688528";"25-49 ans"
"128";1989-01-01;7;"001688528";"25-49 ans"
"129";1988-10-01;7,1;"001688528";"25-49 ans"
"130";1988-07-01;7,2;"001688528";"25-49 ans"
"131";1988-04-01;7,1;"001688528";"25-49 ans"
"132";1988-01-01;7,1;"001688528";"25-49 ans"
"133";1987-10-01;7,1;"001688528";"25-49 ans"
"134";1987-07-01;7,1;"001688528";"25-49 ans"
"135";1987-04-01;7,2;"001688528";"25-49 ans"
"136";1987-01-01;7,1;"001688528";"25-49 ans"
"137";1986-10-01;7;"001688528";"25-49 ans"
"138";1986-07-01;6,8;"001688528";"25-49 ans"
"139";1986-04-01;6,7;"001688528";"25-49 ans"
"140";1986-01-01;6,5;"001688528";"25-49 ans"
"141";1985-10-01;6,5;"001688528";"25-49 ans"
"142";1985-07-01;6,4;"001688528";"25-49 ans"
"143";1985-04-01;6,3;"001688528";"25-49 ans"
"144";1985-01-01;6,2;"001688528";"25-49 ans"
"145";1984-10-01;6;"001688528";"25-49 ans"
"146";1984-07-01;5,8;"001688528";"25-49 ans"
"147";1984-04-01;5,7;"001688528";"25-49 ans"
"148";1984-01-01;5,4;"001688528";"25-49 ans"
"149";1983-10-01;5,1;"001688528";"25-49 ans"
"150";1983-07-01;4,9;"001688528";"25-49 ans"
"151";1983-04-01;4,8;"001688528";"25-49 ans"
"152";1983-01-01;4,8;"001688528";"25-49 ans"
"153";1982-10-01;4,8;"001688528";"25-49 ans"
"154";1982-07-01;4,8;"001688528";"25-49 ans"
"155";1982-04-01;4,7;"001688528";"25-49 ans"
"156";1982-01-01;4,6;"001688528";"25-49 ans"
"157";1981-10-01;4,6;"001688528";"25-49 ans"
"158";1981-07-01;4,4;"001688528";"25-49 ans"
"159";1981-04-01;4,2;"001688528";"25-49 ans"
"160";1981-01-01;4;"001688528";"25-49 ans"
"161";1980-10-01;3,7;"001688528";"25-49 ans"
"162";1980-07-01;3,5;"001688528";"25-49 ans"
"163";1980-04-01;3,5;"001688528";"25-49 ans"
"164";1980-01-01;3,5;"001688528";"25-49 ans"
"165";1979-10-01;3,5;"001688528";"25-49 ans"
"166";1979-07-01;3,5;"001688528";"25-49 ans"
"167";1979-04-01;3,4;"001688528";"25-49 ans"
"168";1979-01-01;3,4;"001688528";"25-49 ans"
"169";1978-10-01;3,3;"001688528";"25-49 ans"
"170";1978-07-01;3,2;"001688528";"25-49 ans"
"171";1978-04-01;3;"001688528";"25-49 ans"
"172";1978-01-01;3;"001688528";"25-49 ans"
"173";1977-10-01;3,1;"001688528";"25-49 ans"
"174";1977-07-01;3,1;"001688528";"25-49 ans"
"175";1977-04-01;2,9;"001688528";"25-49 ans"
"176";1977-01-01;2,7;"001688528";"25-49 ans"
"177";1976-10-01;2,6;"001688528";"25-49 ans"
"178";1976-07-01;2,7;"001688528";"25-49 ans"
"179";1976-04-01;2,7;"001688528";"25-49 ans"
"180";1976-01-01;2,7;"001688528";"25-49 ans"
"181";1975-10-01;2,7;"001688528";"25-49 ans"
"182";1975-07-01;2,7;"001688528";"25-49 ans"
"183";1975-04-01;2,4;"001688528";"25-49 ans"
"184";1975-01-01;2,2;"001688528";"25-49 ans"
"185";2020-10-01;5,6;"001688530";"50 ans et plus"
"186";2020-07-01;6;"001688530";"50 ans et plus"
"187";2020-04-01;4,3;"001688530";"50 ans et plus"
"188";2020-01-01;5,3;"001688530";"50 ans et plus"
"189";2019-10-01;5,6;"001688530";"50 ans et plus"
"190";2019-07-01;6,1;"001688530";"50 ans et plus"
"191";2019-04-01;6,1;"001688530";"50 ans et plus"
"192";2019-01-01;6,4;"001688530";"50 ans et plus"
"193";2018-10-01;6,1;"001688530";"50 ans et plus"
"194";2018-07-01;6;"001688530";"50 ans et plus"
"195";2018-04-01;6,3;"001688530";"50 ans et plus"
"196";2018-01-01;6,2;"001688530";"50 ans et plus"
"197";2017-10-01;6,3;"001688530";"50 ans et plus"
"198";2017-07-01;6,4;"001688530";"50 ans et plus"
"199";2017-04-01;6,3;"001688530";"50 ans et plus"
"200";2017-01-01;6,6;"001688530";"50 ans et plus"
"201";2016-10-01;6,7;"001688530";"50 ans et plus"
"202";2016-07-01;6,9;"001688530";"50 ans et plus"
"203";2016-04-01;6,5;"001688530";"50 ans et plus"
"204";2016-01-01;6,5;"001688530";"50 ans et plus"
"205";2015-10-01;6,8;"001688530";"50 ans et plus"
"206";2015-07-01;6,9;"001688530";"50 ans et plus"
"207";2015-04-01;7,2;"001688530";"50 ans et plus"
"208";2015-01-01;6,5;"001688530";"50 ans et plus"
"209";2014-10-01;6,8;"001688530";"50 ans et plus"
"210";2014-07-01;6,6;"001688530";"50 ans et plus"
"211";2014-04-01;6,6;"001688530";"50 ans et plus"
"212";2014-01-01;6,8;"001688530";"50 ans et plus"
"213";2013-10-01;6,4;"001688530";"50 ans et plus"
"214";2013-07-01;6,7;"001688530";"50 ans et plus"
"215";2013-04-01;6,7;"001688530";"50 ans et plus"
"216";2013-01-01;6,5;"001688530";"50 ans et plus"
"217";2012-10-01;6,3;"001688530";"50 ans et plus"
"218";2012-07-01;5,9;"001688530";"50 ans et plus"
"219";2012-04-01;5,9;"001688530";"50 ans et plus"
"220";2012-01-01;5,6;"001688530";"50 ans et plus"
"221";2011-10-01;5,7;"001688530";"50 ans et plus"
"222";2011-07-01;5,6;"001688530";"50 ans et plus"
"223";2011-04-01;5,4;"001688530";"50 ans et plus"
"224";2011-01-01;5,4;"001688530";"50 ans et plus"
"225";2010-10-01;5,5;"001688530";"50 ans et plus"
"226";2010-07-01;5,4;"001688530";"50 ans et plus"
"227";2010-04-01;5,4;"001688530";"50 ans et plus"
"228";2010-01-01;5,6;"001688530";"50 ans et plus"
"229";2009-10-01;5,8;"001688530";"50 ans et plus"
"230";2009-07-01;5,3;"001688530";"50 ans et plus"
"231";2009-04-01;5,2;"001688530";"50 ans et plus"
"232";2009-01-01;4,6;"001688530";"50 ans et plus"
"233";2008-10-01;4,2;"001688530";"50 ans et plus"
"234";2008-07-01;4,3;"001688530";"50 ans et plus"
"235";2008-04-01;4,6;"001688530";"50 ans et plus"
"236";2008-01-01;4;"001688530";"50 ans et plus"
"237";2007-10-01;4,2;"001688530";"50 ans et plus"
"238";2007-07-01;4,4;"001688530";"50 ans et plus"
"239";2007-04-01;4,7;"001688530";"50 ans et plus"
"240";2007-01-01;5,2;"001688530";"50 ans et plus"
"241";2006-10-01;4,9;"001688530";"50 ans et plus"
"242";2006-07-01;5,1;"001688530";"50 ans et plus"
"243";2006-04-01;5,4;"001688530";"50 ans et plus"
"244";2006-01-01;5,2;"001688530";"50 ans et plus"
"245";2005-10-01;5,3;"001688530";"50 ans et plus"
"246";2005-07-01;5,2;"001688530";"50 ans et plus"
"247";2005-04-01;4,8;"001688530";"50 ans et plus"
"248";2005-01-01;4,9;"001688530";"50 ans et plus"
"249";2004-10-01;5,1;"001688530";"50 ans et plus"
"250";2004-07-01;5;"001688530";"50 ans et plus"
"251";2004-04-01;5,3;"001688530";"50 ans et plus"
"252";2004-01-01;5,6;"001688530";"50 ans et plus"
"253";2003-10-01;5,4;"001688530";"50 ans et plus"
"254";2003-07-01;5,2;"001688530";"50 ans et plus"
"255";2003-04-01;5;"001688530";"50 ans et plus"
"256";2003-01-01;4,7;"001688530";"50 ans et plus"
"257";2002-10-01;5;"001688530";"50 ans et plus"
"258";2002-07-01;5;"001688530";"50 ans et plus"
"259";2002-04-01;4,9;"001688530";"50 ans et plus"
"260";2002-01-01;4,8;"001688530";"50 ans et plus"
"261";2001-10-01;4,8;"001688530";"50 ans et plus"
"262";2001-07-01;4,8;"001688530";"50 ans et plus"
"263";2001-04-01;4,7;"001688530";"50 ans et plus"
"264";2001-01-01;4,9;"001688530";"50 ans et plus"
"265";2000-10-01;5,1;"001688530";"50 ans et plus"
"266";2000-07-01;5,4;"001688530";"50 ans et plus"
"267";2000-04-01;5,7;"001688530";"50 ans et plus"
"268";2000-01-01;6;"001688530";"50 ans et plus"
"269";1999-10-01;6,3;"001688530";"50 ans et plus"
"270";1999-07-01;6,5;"001688530";"50 ans et plus"
"271";1999-04-01;6,7;"001688530";"50 ans et plus"
"272";1999-01-01;6,8;"001688530";"50 ans et plus"
"273";1998-10-01;6,8;"001688530";"50 ans et plus"
"274";1998-07-01;6,7;"001688530";"50 ans et plus"
"275";1998-04-01;6,7;"001688530";"50 ans et plus"
"276";1998-01-01;6,7;"001688530";"50 ans et plus"
"277";1997-10-01;6,6;"001688530";"50 ans et plus"
"278";1997-07-01;6,7;"001688530";"50 ans et plus"
"279";1997-04-01;6,7;"001688530";"50 ans et plus"
"280";1997-01-01;6,6;"001688530";"50 ans et plus"
"281";1996-10-01;6,5;"001688530";"50 ans et plus"
"282";1996-07-01;6,4;"001688530";"50 ans et plus"
"283";1996-04-01;6,4;"001688530";"50 ans et plus"
"284";1996-01-01;6,2;"001688530";"50 ans et plus"
"285";1995-10-01;5,8;"001688530";"50 ans et plus"
"286";1995-07-01;5,9;"001688530";"50 ans et plus"
"287";1995-04-01;5,9;"001688530";"50 ans et plus"
"288";1995-01-01;6;"001688530";"50 ans et plus"
"289";1994-10-01;5,9;"001688530";"50 ans et plus"
"290";1994-07-01;5,9;"001688530";"50 ans et plus"
"291";1994-04-01;6;"001688530";"50 ans et plus"
"292";1994-01-01;6;"001688530";"50 ans et plus"
"293";1993-10-01;6;"001688530";"50 ans et plus"
"294";1993-07-01;5,8;"001688530";"50 ans et plus"
"295";1993-04-01;5,7;"001688530";"50 ans et plus"
"296";1993-01-01;5,7;"001688530";"50 ans et plus"
"297";1992-10-01;5,8;"001688530";"50 ans et plus"
"298";1992-07-01;6;"001688530";"50 ans et plus"
