"";"TRIMESTRE";"TXCHOMAGE";"IDBANK";"AGE"
"490";1990-07-01;15,1;"001688536";"15-24 ans"
"491";1990-04-01;15;"001688536";"15-24 ans"
"492";1990-01-01;15,1;"001688536";"15-24 ans"
"493";1989-10-01;15;"001688536";"15-24 ans"
"494";1989-07-01;14,9;"001688536";"15-24 ans"
"495";1989-04-01;15;"001688536";"15-24 ans"
"496";1989-01-01;15,2;"001688536";"15-24 ans"
"497";1988-10-01;15,9;"001688536";"15-24 ans"
"498";1988-07-01;16,7;"001688536";"15-24 ans"
"499";1988-04-01;17;"001688536";"15-24 ans"
"500";1988-01-01;17,4;"001688536";"15-24 ans"
"501";1987-10-01;17,5;"001688536";"15-24 ans"
"502";1987-07-01;17,7;"001688536";"15-24 ans"
"503";1987-04-01;17,9;"001688536";"15-24 ans"
"504";1987-01-01;18;"001688536";"15-24 ans"
"505";1986-10-01;18,2;"001688536";"15-24 ans"
"506";1986-07-01;18,7;"001688536";"15-24 ans"
"507";1986-04-01;18,9;"001688536";"15-24 ans"
"508";1986-01-01;18,7;"001688536";"15-24 ans"
"509";1985-10-01;19,1;"001688536";"15-24 ans"
"510";1985-07-01;19,6;"001688536";"15-24 ans"
"511";1985-04-01;19,9;"001688536";"15-24 ans"
"512";1985-01-01;20,5;"001688536";"15-24 ans"
"513";1984-10-01;20,4;"001688536";"15-24 ans"
"514";1984-07-01;20,1;"001688536";"15-24 ans"
"515";1984-04-01;19,6;"001688536";"15-24 ans"
"516";1984-01-01;18,4;"001688536";"15-24 ans"
"517";1983-10-01;17,2;"001688536";"15-24 ans"
"518";1983-07-01;16,2;"001688536";"15-24 ans"
"519";1983-04-01;15,6;"001688536";"15-24 ans"
"520";1983-01-01;15,4;"001688536";"15-24 ans"
"521";1982-10-01;15,5;"001688536";"15-24 ans"
"522";1982-07-01;15,4;"001688536";"15-24 ans"
"523";1982-04-01;14,9;"001688536";"15-24 ans"
"524";1982-01-01;14,6;"001688536";"15-24 ans"
"525";1981-10-01;14,6;"001688536";"15-24 ans"
"526";1981-07-01;14,3;"001688536";"15-24 ans"
"527";1981-04-01;13,7;"001688536";"15-24 ans"
"528";1981-01-01;13;"001688536";"15-24 ans"
"529";1980-10-01;12,2;"001688536";"15-24 ans"
"530";1980-07-01;11,7;"001688536";"15-24 ans"
"531";1980-04-01;11,4;"001688536";"15-24 ans"
"532";1980-01-01;11,2;"001688536";"15-24 ans"
"533";1979-10-01;10,9;"001688536";"15-24 ans"
"534";1979-07-01;10,6;"001688536";"15-24 ans"
"535";1979-04-01;10,3;"001688536";"15-24 ans"
"536";1979-01-01;10,1;"001688536";"15-24 ans"
"537";1978-10-01;10,2;"001688536";"15-24 ans"
"538";1978-07-01;9,7;"001688536";"15-24 ans"
"539";1978-04-01;8,7;"001688536";"15-24 ans"
"540";1978-01-01;8,5;"001688536";"15-24 ans"
"541";1977-10-01;9;"001688536";"15-24 ans"
"542";1977-07-01;9,4;"001688536";"15-24 ans"
"543";1977-04-01;8,9;"001688536";"15-24 ans"
"544";1977-01-01;8;"001688536";"15-24 ans"
"545";1976-10-01;7,5;"001688536";"15-24 ans"
"546";1976-07-01;7,6;"001688536";"15-24 ans"
"547";1976-04-01;7,7;"001688536";"15-24 ans"
"548";1976-01-01;7,5;"001688536";"15-24 ans"
"549";1975-10-01;7,3;"001688536";"15-24 ans"
"550";1975-07-01;7,1;"001688536";"15-24 ans"
"551";1975-04-01;6,4;"001688536";"15-24 ans"
"552";1975-01-01;5,8;"001688536";"15-24 ans"
